
2024/07/22 (19:21:36) | ===> btop++ v.1.3.2
2024/07/22 (19:21:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/22 (19:23:08) | ===> btop++ v.1.3.2
2024/07/22 (19:23:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/22 (19:56:55) | ===> btop++ v.1.3.2
2024/07/22 (19:56:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/22 (20:03:51) | ===> btop++ v.1.3.2
2024/07/22 (20:03:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/23 (06:43:51) | ===> btop++ v.1.3.2
2024/07/23 (06:43:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/23 (06:44:10) | ===> btop++ v.1.3.2
2024/07/23 (06:44:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/23 (19:32:13) | ===> btop++ v.1.3.2
2024/07/23 (19:32:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/23 (21:10:19) | ===> btop++ v.1.3.2
2024/07/23 (21:10:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/23 (21:10:33) | ===> btop++ v.1.3.2
2024/07/23 (21:10:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/25 (21:04:21) | ===> btop++ v.1.3.2
2024/07/25 (21:04:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/27 (15:39:25) | ===> btop++ v.1.3.2
2024/07/27 (15:39:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (14:04:54) | ===> btop++ v.1.3.2
2024/07/28 (14:04:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (14:18:30) | ===> btop++ v.1.3.2
2024/07/28 (14:18:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (14:57:56) | ===> btop++ v.1.3.2
2024/07/28 (14:57:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (14:59:02) | ===> btop++ v.1.3.2
2024/07/28 (14:59:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (18:33:29) | ===> btop++ v.1.3.2
2024/07/28 (18:33:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (18:35:17) | ===> btop++ v.1.3.2
2024/07/28 (18:35:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (22:51:14) | ===> btop++ v.1.3.2
2024/07/29 (22:51:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/30 (18:43:22) | ===> btop++ v.1.3.2
2024/07/30 (18:43:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/30 (20:59:12) | ===> btop++ v.1.3.2
2024/07/30 (20:59:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/01 (19:57:35) | ===> btop++ v.1.3.2
2024/08/01 (19:57:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/04 (10:45:16) | ===> btop++ v.1.3.2
2024/08/04 (10:45:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
